ID,Event,Record,Athlete(s),Nation,Games,Date
1,100 metres,9.63,Usain Bolt,Jamaica (JAM),2012 London,"August 5, 2012"
2,200 metres,19.3,Usain Bolt,Jamaica (JAM),2008 Beijing,"August 20, 2008"
3,400 metres,43.03,Wayde van Niekerk,South Africa (RSA),2016 Rio de Janeiro,"August 14, 2016"
4,800 metres,01:40.9,David Rudisha,Kenya (KEN),2012 London,"August 9, 2012"
5,"1,500 metres",03:28.3,Jakob Ingebrigtsen,Norway (NOR),2020 Tokyo,"August 7, 2021"
6,"5,000 metres",12:57.8,Kenenisa Bekele,Ethiopia (ETH),2008 Beijing,"August 23, 2008"
7,"10,000 metres",27:01.2,Kenenisa Bekele,Ethiopia (ETH),2008 Beijing,"August 17, 2008"
8,Marathon,02:06:32,Samuel Wanjiru,Kenya (KEN),2008 Beijing,"August 24, 2008"
9,110 metres hurdles,12.91,Liu Xiang,China (CHN),2004 Athens,"August 27, 2004"
10,400 metres hurdles,45.94,Karsten Warholm,Norway (NOR),2020 Tokyo,"August 3, 2021"
11,"3,000 m steeplechase",08:03.3,Conseslus Kipruto,Kenya (KEN),2016 Rio de Janeiro,"August 17, 2016"
12,4Ã—100 m relay,36.84,"Nesta Carter
 Michael Frater
 Yohan Blake
 Usain Bolt",Jamaica (JAM),2012 London,"August 11, 2012"
13,4Ã—400 m relay,02:55.4,"LaShawn Merritt
 Angelo Taylor
 David Neville
 Jeremy Wariner",United States (USA),2008 Beijing,"August 23, 2008"
14,20 km walk,01:18:46,Chen Ding,China (CHN),2012 London,"August 4, 2012"
15,50 km walk,03:36:53,Jared Tallent,Australia (AUS),2012 London,"August 11, 2012"
16,High jump,2.39 m,Charles Austin,United States (USA),1996 Atlanta,"July 28, 1996"
17,Long jump,8.90 m,Bob Beamon,United States (USA),1968 Mexico City,"October 18, 1968"
18,Pole vault,6.03 m,Thiago Braz,Brazil (BRA),2016 Rio de Janeiro,"August 15, 2016"
19,Triple jump,18.09 m,Kenny Harrison,United States (USA),1996 Atlanta,"July 27, 1996"
20,Shot put,23.30 m,Ryan Crouser,United States (USA),2020 Tokyo,"August 5, 2021"
21,Discus throw,69.89 m,Virgilijus Alekna,Lithuania (LTU),2004 Athens,"August 23, 2004"
22,Hammer throw,84.80 m,Sergey Litvinov,Soviet Union (URS),1988 Seoul,"September 26, 1988"
23,Javelin throw,90.57 m,Andreas Thorkildsen,Norway (NOR),2008 Beijing,"August 23, 2008"
24,Decathlon,9018 pts,Damian Warner,Canada (CAN),2020 Tokyo,"August 5, 2021"
