ID,Country,Gold,Silver,Bronze,Total
1,United States,1180,959,841,2980
2,United Kingdom,296,320,332,948
3,Germany,293,293,306,892
4,France,258,289,327,874
5,Italy,257,224,261,742
6,China,275,227,194,696
7,Sweden,205,222,234,661
8,Australia,169,178,215,562
9,Japan,183,172,200,555
10,Russia,196,164,187,547
11,Norway,192,176,160,528
12,Canada,144,172,209,525
13,Hungary,182,156,180,518
14,Finland,144,148,180,472
15,Netherlands,140,148,163,451
16,Switzerland,109,124,125,358
17,South Korea,127,116,114,357
18,Austria,83,115,128,326
19,Poland,79,96,145,320
20,Romania,90,97,122,309
