ID,Athlete,Nation,Sport,Gender,Gold,Silver,Bronze,Total
1,Michael Phelps,United States,Swimming,M,23,3,2,28
2,Larisa Latynina,Soviet Union,Gymnastics,F,9,5,4,18
3,Marit Bjørgen,Norway,Cross-country skiing,F,8,4,3,15
4,Nikolai Andrianov,Soviet Union,Gymnastics,M,7,5,3,13
5,Ole Einar Bjørndalen,Norway,Biathlon,M,8,4,1,13
6,Boris Shakhlin,Soviet Union,Gymnastics,M,7,4,2,13
7,Edoardo Mangiarotti,Italy,Fencing,M,6,5,2,13
8,Ireen Wüst,Netherlands,Speed skating,F,6,5,2,13
9,Takashi Ono,Japan,Gymnastics,M,5,4,4,13
10,Paavo Nurmi,Finland,Athletics,M,9,3,0,12
11,Birgit Fischer,"
 Germany",Canoeing,F,8,4,0,12
12,Bjørn Dæhlie,Norway,Cross-country skiing,M,8,4,0,12
13,Sawao Katō,Japan,Gymnastics,M,8,3,1,12
14,Jenny Thompson,United States,Swimming,F,8,3,1,12
15,Isabell Werth,Germany,Equestrian,F,7,5,0,12
16,Ryan Lochte,United States,Swimming,M,6,3,3,12
17,Dara Torres,United States,Swimming,F,4,4,4,12
18,Alexei Nemov,Russia,Gymnastics,M,4,2,6,12
19,Natalie Coughlin,United States,Swimming,F,3,4,5,12
20,Mark Spitz,United States,Swimming,M,9,1,1,11
21,Matt Biondi,United States,Swimming,M,8,2,1,11
22,Věra Čáslavská,Czechoslovakia,Gymnastics,F,7,4,0,11
23,Viktor Chukarin,Soviet Union,Gymnastics,M,7,3,1,11
24,Allyson Felix,United States,Athletics,F,7,3,1,11
25,Carl Osburn,United States,Shooting,M,5,4,2,11
26,Emma McKeon,Australia,Swimming,F,5,2,4,11
27,Arianna Fontana,Italy,Short track speed skating,F,2,4,5,11
